map_id,map_name
2,[2] DotA_Allstars_7.03R10.w3x
3,DotA_Allstars_7.03b2.w3x
4,(10) CastleFightES1.22a.w3x
5,Ninja Scroll 1.4a.w3x
6,Warlock (CE) 1.08M.w3x
7,Legion-TD-Mega 4.5 no crash.w3x
8,SurvivalChaos3.01p.w3x
9,Ninja Scroll 1.3(v).w3x
10,Legion TD Mega v4.2 x20.w3x
11,Green Circle TD v9.9.w3x
12,Darky0.56c.w3x
13,FarmerVsHunterR-Season2 0.26c.w3x
14,Infection attack 1.7.w3x
15,PokemonDefense 4.1e.w3x
16,BleachVsOnepiece13.w3x
17,Custom Hero Survival FINAL 5.5.w3x
18,Bvo Vainglory v30 final version.w3x
19,Troll vs. Elves 4.6.7.w3x
20,MF277.w3x
21,9xHeroDefenseVN_20_10_2020DekuxD.w3x
